"CO_UF_RESIDENCIA","SG_UF_RESIDENCIA","NU_IDADE","TP_SEXO","TP_NACIONALIDADE","TP_ST_CONCLUSAO","TP_ANO_CONCLUIU","TP_ESCOLA","IN_TREINEIRO","IN_BAIXA_VISAO","IN_CEGUEIRA","IN_SURDEZ","IN_DISLEXIA","IN_DISCALCULIA","IN_SABATISTA","IN_GESTANTE","IN_IDOSO","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","CO_PROVA_CN","CO_PROVA_LC","CO_PROVA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","TP_STATUS_REDACAO","NU_NOTA_COMP1","NU_NOTA_COMP2","NU_NOTA_COMP3","NU_NOTA_COMP4","NU_NOTA_COMP5","NU_NOTA_REDACAO","Q001","Q002","Q006","Q024","Q025","Q026","Q027","Q047","regioes","idade2"
41,18,22,1,1,1,5,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,8,464.8,443.5,431.8,1,120,80,80,100,40,420,2,1,3,1,1,3,4,1,5,44
21,10,26,1,1,1,8,1,0,0,0,0,0,0,0,0,0,1,1,1,8,7,4,391.1,491.1,548,1,120,120,120,120,100,580,5,2,3,2,2,2,7,1,2,52
23,6,21,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,595.9,622.7,613.6,1,80,40,40,80,80,320,5,5,4,2,2,1,1,1,2,42
41,18,18,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,6,7,592.9,492.6,571.4,1,100,80,60,80,0,320,4,8,8,3,2,1,1,1,5,36
43,23,18,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,414.5,568.5,542.5,1,120,120,120,120,80,560,5,5,3,2,2,1,1,1,5,36
35,26,17,1,1,2,0,3,0,0,0,0,0,0,0,0,0,1,1,1,5,7,4,485.7,654.6,606.6,1,140,120,120,120,120,620,4,5,8,4,2,1,1,4,4,34
23,6,17,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,1,8,423.2,521,451.8,1,100,80,80,100,60,420,4,3,2,1,1,1,1,1,2,34
51,13,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,6,7,414.4,577.6,548.6,1,120,160,160,140,160,740,2,4,3,1,1,2,5,1,1,36
15,14,17,2,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,1,8,456.8,518.5,488.7,1,120,120,120,120,100,580,2,3,2,1,1,1,1,1,3,34
26,16,22,2,2,1,5,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,428.3,495.1,534.3,1,140,120,100,120,100,580,2,4,2,2,2,2,7,1,2,44
25,15,18,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,597.2,606.7,525.5,1,120,80,120,120,80,520,3,5,3,2,2,2,6,1,2,36
43,23,18,1,4,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,518.8,599.5,519.4,1,160,140,120,140,120,680,5,6,4,3,2,1,1,4,5,36
33,19,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,410.4,537.5,613.8,1,140,140,120,120,80,600,8,5,3,1,1,1,1,1,4,36
21,10,21,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,5,6,7,371.9,444.5,449.2,1,80,80,80,80,60,380,8,1,2,1,1,2,2,1,2,42
35,26,17,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,390.3,546.3,477.8,1,120,140,120,120,40,540,6,5,3,1,1,1,1,1,4,34
11,21,21,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,481.9,534.7,563.2,1,120,120,80,120,120,560,2,1,3,2,2,3,8,1,3,42
26,16,18,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,8,7,4,620.7,706.4,632.3,1,160,160,160,160,160,800,5,7,8,3,2,1,1,4,2,36
41,18,20,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,2,6,7,410.7,460.2,520.1,1,120,120,100,100,80,520,4,2,7,2,2,3,3,1,5,40
51,13,19,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,5,7,4,603.6,597.1,555.4,1,160,180,180,160,120,800,5,6,13,1,1,1,1,4,1,38
13,3,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,9,425,370.3,392.2,1,120,100,100,100,60,480,8,4,3,2,2,1,1,1,3,36
52,9,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,1,8,459.9,493.5,468.6,1,120,80,80,120,40,440,7,7,15,2,2,1,1,1,1,36
29,5,21,2,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,7,2,9,425,413.4,413.9,1,120,80,80,100,80,460,4,3,2,2,2,2,5,1,2,42
53,7,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,610.1,538.2,535.5,1,140,140,140,140,40,600,6,5,3,2,2,1,1,1,1,36
35,26,35,1,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,7,6,7,495.1,564.3,534.2,1,140,120,120,120,80,580,2,2,4,2,2,1,1,1,4,70
53,7,19,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,575.2,552.6,500.4,1,140,160,140,120,140,700,5,5,4,2,2,1,1,1,1,38
29,5,39,2,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5,7,4,470.2,577.3,514.6,1,100,100,100,100,80,480,2,5,7,2,2,3,7,1,2,78
33,19,15,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,7,1,8,443,508.8,510.6,1,120,140,120,120,120,620,5,4,6,1,1,1,1,4,4,30
33,19,19,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,7,2,9,432.8,476.2,439.4,1,120,100,100,120,100,540,3,3,3,2,2,1,1,1,4,38
15,14,19,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5,7,4,463.5,524.8,386.3,1,120,120,120,120,80,560,2,3,2,1,1,1,1,1,3,38
23,6,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,607.4,641.6,593.9,1,160,160,180,180,160,840,2,2,2,1,1,1,1,1,2,36
43,23,18,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,8,1,8,477.2,563.5,520.3,1,100,120,100,120,60,500,8,3,3,2,2,3,5,1,5,36
35,26,34,2,1,1,10,1,0,0,0,0,0,0,0,0,0,1,1,1,5,2,9,391.9,552.9,468.2,1,120,80,100,100,0,400,2,2,5,2,2,3,10,1,4,68
23,6,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5,1,8,520.6,552,532.1,1,120,80,100,120,80,500,3,5,2,2,1,1,1,1,2,34
21,10,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,7,2,9,438.9,525.9,516.4,1,100,100,100,120,20,440,3,2,2,1,1,2,3,1,2,34
23,6,17,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,457.8,463.3,453,1,100,80,60,80,40,360,8,2,2,1,1,1,1,1,2,34
31,11,20,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,7,1,8,524.9,533.9,526.8,1,140,120,120,120,40,540,8,1,6,2,2,3,5,1,4,40
